desc,tsne_x,tsne_y,desc_clear,target,target_num
"Хорошо асфальтированная дорога, в городской среде, проходящая возле водного природного раздела.",-15.055239,-4.6654325,асфальтировать дорога городской среда проходить возле водный природный раздел,дорога,19
"Извилистая трасса, покрытая асфальтовой крошкой.",-9.470371,-10.272197,извилистый трасса покрывать асфальтовый крошка,none,0
Качественная трасса для автогонок.,0.0011986506,16.791012,качественный трасса автогонки,none,0
"Автодром, предназначенный для проведения соревнований по автомобильным кольцевым гонкам и шоссейно-кольцевым мотогонкам.",-16.667604,-12.169371,автодром предназначать проведение соревнование автомобильный кольцевой гонка шоссейный кольцевой мотогонки,none,0
Заправка,20.729074,-1.5285132,заправка,none,0
Заправка,20.748272,-1.4870787,заправка,none,0
Заправка,20.740215,-1.5571929,заправка,none,0
"Концертный зал , танцевальный зал , подземный паркинг и офис.",-18.833652,2.6832607,концертный зал танцевальный зал подземный паркинг офис,зал,20
"Многоуровневая парковка с интересным решением фасада- бионика, уютная рекреационная зона.",-10.047283,-2.8780541,многоуровневый парковка интересный решение фасад бионика уютный рекреационный зона,парковка,44
"Многоуровневая парковка. Ж/б конструкции, металлические ограждения.",-24.198189,-9.724379,многоуровневый парковка б конструкция металлический ограждение,парковка,44
Крытая автомобильная парковка. Желтые стены.,-10.066739,-8.403778,крытый автомобильный парковка желтый стена,парковка,44
"Открытая площадка в городской среде, строение из красного кирпича.",-6.7288413,-29.621927,открытый площадка городской среда строение красный кирпич,площадка,46
"Открытая площадка, строения из красного кирпича.",-6.014717,-30.409924,открытый площадка строение красный кирпич,площадка,46
"Площадка, строение из красного кирпича, наружные, открытые инженерные элементы  коммуникации.",-5.8441153,-28.277689,площадка строение красный кирпич наружный открытый инженерный элемент коммуникация,площадка,46
"Парковка на крыше , панорамный вид города.",21.459599,-14.24358,парковка крыша панорамный вид город,парковка,44
Пространство с множеством комнат (аудитории и лекторные залы).,-12.405041,9.078594,пространство множество комната аудитория лекторный зал,пространство,54
"Большое помещение с бассейном, баней и верандой .",28.913197,5.5612993,большой помещение бассейн баня веранда,помещение,51
"Публичная площадка, светлое пространство, высокие потолки, большие окна. Место для проведения деловых мероприятий.",33.69644,2.29593,публичный площадка светлый пространство высокий потолок большой окно место проведение деловой мероприятие,площадка,46
"Небольшое пространство, включающее основной зал и зону кафе",-31.425587,5.408467,небольшой пространство включать основной зал зона кафе,пространство,54
"Банк, высокие потолки, светлое пространство.",34.407204,5.0339675,банк высокий потолок светлый пространство,пространство,54
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",37.316277,-7.694564,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",37.316597,-7.6951637,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения. Test",14.747621,49.849144,школа бортпроводник общий вид площадка объект самолет зеленый насаждение test,школа,75
"Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",39.176266,-44.69615,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",54.621735,-41.55613,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
Ангар для стоянки бизнес-джетов.,62.77775,4.9128275,ангар стоянка бизнес джет,ангар,2
Ангар для самолетов и вертолетов.,15.96042,54.085022,ангар самолет вертолет,ангар,2
"Салон cамолета, кабина.",-4.9218864,-47.131084,салон самолет кабина,салон,59
"Самолет Ил-76, внешний вид , фюзеляж, кабина.",37.316372,-7.6938767,самолет ил 76 внешний вид фюзеляж кабина,самолет,60
Темное пространство .,21.880777,2.5634344,темный пространство,пространство,54
Одноэтажный автосервис с синими стенами.,21.501528,18.707268,одноэтажный автосервис синий стена,автосервис,1
"Большое светлое пространство в современной стилистике, большая площадь остекления, открытые элементы конструкций, современный хай-тек стиль дизайна интерьера, белый пол, глянцевый пол.",32.02007,-1.821956,большой светлый пространство современный стилистика большой площадь остекление открытый элемент конструкция современный хай течь стиль дизайн интерьер белый пол глянцевый пол,пространство,54
Большой двухуровневый автосалон.,26.494295,9.313545,большой двухуровневый автосалон,none,0
Автомойка с большими окнами .,30.880404,15.358705,автомойка большой окно,none,0
Небольшой светлый холл на первом этаже с панорамными окнами,28.319056,4.8802767,небольшой светлый холл первый этаж панорамный окно,холл,73
Зал с белыми стенами и небольшой сценой,-21.119984,2.4642143,зал белый стена небольшой сцена,зал,20
Офис + коворкинг с цветными стенами (5 комнат).,20.651861,18.950596,офис коворкинг цветной стена 5 комната,офис,42
Офис-коворкинг в черно-белых тонах.,13.13006,25.126842,офис коворкинг черно-белый тон,офис,42
"Коворкинг с кирпичной отделкой , небольшим кафе и кухней.",-17.09686,27.17793,коворкинг кирпичный отделка небольшой кафе кухня,кафе,25
"Концертный зал , танцевальный зал , подземный паркинг и офис.",-18.828064,2.6896753,концертный зал танцевальный зал подземный паркинг офис,зал,20
Переговоры в разных стилях.,-1.7564932,15.725575,переговоры разный стиль,none,0
"Переговорная с современным интерьером в светлых тонах с большими окнами и винтовой лестницей,  26 посадочных мест.",30.427067,23.643877,переговорный современный интерьер светлый тон большой окно винтовой лестница 26 посадочный место,интерьер,23
Белый дом в центре Москвы со своей парковкой.,9.507717,-1.683133,белый дом центр москва свой парковка,дом,18
Территория жилого комплекса с прогулочной аллеей и велодорожками.,1.0522405,-22.619284,территория жилой комплекс прогулочный аллея велодорожка,комплекс,32
"Высотный жилой комплекс в Москве, состоящий из шести корпусов. Собственный яхт-клуб.",5.097118,2.9976993,высотный жилой комплекс москва состоять шесть корпус собственный яхт-клуб,комплекс,32
Территория среди объектов современного стиля.,20.723103,15.698934,территория среди объект современный стиль,none,0
"Комплекс представляет собой единый архитектурный ансамбль, выполненный в стиле хай-тек, с панорамным остеклением фасадов. Он состоит из трёх монолитных башен переменной этажности (3-14 этажей), которые соединяются на уровне седьмого этажа стилобатом. В этой части комплекса располагаются офисные помещения, объекты внутренней инфраструктуры и торговые площадки.",-1.4452488,0.76980275,"комплекс представлять единый архитектурный ансамбль выполнять стиль хаять течь панорамный остекление фасад состоять монолитный башня переменный этажность 3 14 этаж ),  который соединяться уровень седьмой этаж стилобат часть комплекс располагаться офисный помещение объект внутренний инфраструктура торговый площадка",комплекс,32
"Здание выполнено в современной архитектурной концепции с использованием передовых инженерных технологий. В бизнес центре большие окна и просторное лобби, занимающее два этажа, а также кабинеты со свободной планировкой.",26.7202,13.610172,здание выполнять современный архитектурный концепция использование передовой инженерный технология бизнес центр большой окно просторный лобби занимать этаж также кабинет свободный планировка,здание,22
"Дизайн интерьера бизнес центра исполнен в современном стиле хай-тек. Основной особенностью здания является два последних VIP этажа (13-14) с просторными террасами, отдельными лифтами и свободной планировкой. Среди объектов инфраструктуры бизнес центра  следует отметить: столовую для сотрудников, фитнес клуб с бассейном, парковка со 2 по 5 этаж здания, кафе, маникюрный салон, отделение банка. ",-2.2760026,1.4994721,дизайн интерьер бизнес центр исполнять современный стиль хаять течь основной особенность здание являться последний vip этаж 13 14 просторный терраса отдельный лифт свободный планировка среди объект инфраструктура бизнес центр следовать отмечать столовая сотрудник фитнес клуб бассейн парковка 2 5 этаж здание кафе маникюрный салон отделение банк,интерьер,23
"Этот комплекс сочетает в себе оборудованные уютные офисные помещения и обширные территории складов с потолками высотой от 3 метров. Для удобства перемещения работают пассажирские лифты, а для разгрузки товара есть грузовой лифт (грузоподъемность до 1 тонны) и пандусы. Все этажи здания подключены к системе центрального отопления, установлена противопожарная сигнализация. На прилегающей территории имеется парковка и временная стоянка для фур и грузовых автомобилей. Офисные помещения смешанной планировки можно удобно оборудовать всем необходимым для ведения дел. На территории комплекса есть столовая, где можно перекусить в обеденный перерыв, и несколько торговых точек.",-4.181269,-16.095413,комплекс сочетать оборудовать уютный офисный помещение обширный территория склад потолок высота 3 метр удобство перемещение работать пассажирский лифт разгрузка товар грузовой лифт грузоподъемность 1 тонна пандус весь этаж здание подключать система центральный отопление устанавливать противопожарный сигнализация прилегать территория иметься парковка временный стоянка фура грузовой автомобиль офисный помещение смешанный планировка удобно оборудовать необходимый ведение дело территория комплекс столовая перекусить обеденный перерыв несколько торговый точка,комплекс,32
"I would be happy to invite the guests to my cozy, bright 2-room apartment one minute from the metro station. Just 20 minutes to Red Square and the city center by metro.The apartment is for 4 people. There is everything you need for a comfortable staying. Буду рада предложить гостям свою уютную светлую 2-комнатную квартиру в одной минуте от станции метро. Всего 20 минут до Красной площади и центра города на метро.Квартира для 4х человек, 7этаж. Есть все необходимое для комфортного проживания.",-25.63757,-25.41652,i would be happy to invite the guests to my cozy bright 2 room apartment one minute from the metro station just 20 minutes to red square and the city center by metro the apartment is for 4 people there is everything you need for a comfortable staying рад  гость свой уютный светлый 2 комнатный квартира минута станция метро 20 минута красный площадь центр город метро квартира 4х человек 7этаж необходимый комфортный проживание,квартира,27
"БЕСКОНТАКТНЫЕ Заселение и выезд!!! ИДЕАЛЬНО ПОДХОДИТ ДЛЯ УДАЛЁННОЙ РАБОТЫ и спокойного отдыха! Очень уютная светлая студия! Свежий ремонт,великолепный матрас на широкой кровати, благоухающее постельное бельё. В 30 метрах от подъезда- круглосуточный супермаркет со своей пекарней. Отличный район Бизнес-класса Very comfortable bright apartment! Freshly renovated, great mattress on a wide bed. Perfect cleanliness. You will definitely want to come back to us :)",-25.638283,-25.409636,"бесконтактный заселение выезд !!! идеально подходить удаленный работа спокойный отдых очень уютный светлый студия свежий ремонт великолепный матрас широкий кровать благоухать постельный белье 30 метр подъезд круглосуточный супермаркет свой пекарня отличный район бизнес-класс very comfortable bright apartment freshly renovated great mattress on a wide bed perfect cleanliness you will definitely want to come back to us  :)
",студия,63
"Уютные апартаменты-студия в новом жилом комплексе премиум-класса. В 5-8 минутах пешком станция метро Водный стадион. До Красной площади на метро 19 минут без пересадок! Студия на севере Москвы, в одном из самых чистых и ухоженных районов. Сразу за домом Невский парк, в 400 метрах вход в Парк-усадьбу Михалково. Каскады прудов, красивые аллеи - все будет радовать глаз и сделает Ваш отдых незабываемым! Район отличается прекрасной инфраструктурой. , в 600 метрах огромный ТРЦ Водный.",2.5948942,-25.851318,уютный апартамент студия новый жилой комплекс премиум класс 5 8 минута пешком станция метро водный стадион красный площадь метро 19 минута пересадка студия север москва самый чистый ухоженный район сразу дом невский парк 400 метр вход парк усадьба михалково каскад пруд красивый аллея радовать глаз сделать ваш отдых незабываемый район отличаться прекрасный инфраструктура 600 метр огромный трц водный,студия,63
Номер в отеле Измайловский парк оснащен всем необходимым для длительного проживания. В номере есть своя кухня с посудой и ванная комната.,-20.459194,14.066916,номер отель измайловский парк оснащать необходимый длительный проживание номер свой кухня посуда ванный комната,отель,41
"Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.",33.28777,44.418327,лофт мероприятие интерьер присутствовать граффити машина диван кресло камин,лофт,36
Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.,13.386496,38.557713,пространство мероприятие лофт кирпичный отделка множество комната,пространство,54
Двухуровневый лофт-офис с большими окнами.,34.198277,18.574026,двухуровневый лофт офис большой окно,лофт,36
Лофт в серых тонах и с большими окнами.,36.749626,13.1588545,лофт серый тон большой окно,лофт,36
Светлое пространство с большими окнами.,35.811497,11.234281,светлый пространство большой окно,пространство,54
Лофт в стиле минимализм с большими окнами,29.447332,16.253494,лофт стиль минимализм большой окно,лофт,36
Светлое пространство в классическом стиле .,36.89603,6.9236264,светлый пространство классический стиль,пространство,54
Лофт в черно-белом стиле.,20.925879,24.00342,лофт черно-белый стиль,лофт,36
Темное пространство .,20.875229,2.4308681,темный пространство,пространство,54
Темное пространство .,22.449247,2.880577,темный пространство,пространство,54
Темное пространство .,22.063997,3.1968842,темный пространство,пространство,54
Темное пространство .,22.369032,2.5281377,темный пространство,пространство,54
Темное пространство .,21.386251,1.8590542,темный пространство,пространство,54
Темное пространство .,21.69314,3.3006299,темный пространство,пространство,54
Темное пространство .,21.182068,3.2818925,темный пространство,пространство,54
Темное пространство .,21.811703,1.7113495,темный пространство,пространство,54
Темное пространство .,21.367695,2.889123,темный пространство,пространство,54
Темное пространство .,22.118193,1.8751231,темный пространство,пространство,54
Темное пространство .,22.558088,2.1040123,темный пространство,пространство,54
Темное пространство .,21.53124,2.3752084,темный пространство,пространство,54
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,14.050549,56.977596,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",37.174217,-44.978203,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",13.735716,-64.30153,тренажер обучение бортпроводник имитировать салон самолет,салон,59
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",55.121178,-42.393818,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,75.27052,-5.2560472,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,63.38911,3.9319031,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,64.99955,-15.297978,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,46.78829,-18.658508,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",26.834335,-66.35951,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,14.890683,56.010174,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",37.16628,-46.14561,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",53.777683,-41.861626,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",12.274954,-65.05682,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,64.37127,5.399259,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,63.48047,-16.72829,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,48.689976,-18.760155,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",25.939499,-66.52483,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,74.648895,-5.3582597,черный бизнес джет москва,бизнес,10
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,13.250577,57.329414,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",37.626144,-45.157894,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",55.791,-41.456013,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,64.093475,3.0195773,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,63.36394,-15.754567,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,49.041126,-20.969677,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",25.763079,-68.4781,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",12.607687,-63.9443,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,73.70497,-4.4419985,черный бизнес джет москва,бизнес,10
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,13.407056,56.71781,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",38.031063,-44.64809,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",54.157776,-40.888695,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",26.579243,-68.050674,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",12.800721,-65.88413,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,73.92913,-5.558202,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,65.690956,5.0902877,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,64.50502,-14.997807,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,47.116657,-19.565166,москва цао,none,0
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,12.533013,56.519478,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",37.498585,-45.640205,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",54.652924,-40.558727,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,47.542828,-18.205404,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",26.05181,-67.29145,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",13.398606,-65.06856,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,73.334625,-4.765189,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,63.566696,3.4328976,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,64.3921,-15.751423,бизнес джет москва цао,бизнес,10
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,13.794174,56.441376,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",37.846752,-44.04093,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",56.24152,-41.122345,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,62.513428,-15.170163,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,46.55217,-19.348572,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",26.999805,-67.90516,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",12.373614,-65.59922,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,73.45538,-6.1361914,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,64.93566,3.5737834,ангар стоянка бизнес джет москва,ангар,2
Ангар с гримерной комнатой.,9.578198,18.33296,ангар гримерный комната,ангар,2
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения.",14.751721,49.831688,школа бортпроводник общий вид площадка объект самолет зеленый насаждение,школа,75
Ангар для стоянки бизнес-джетов.,63.081234,5.4851375,ангар стоянка бизнес джет,ангар,2
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,13.191576,55.758743,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",38.35664,-46.27136,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",55.341423,-41.346462,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
