desc,tsne_x,tsne_y,desc_clear,target,target_num
"БЕСКОНТАКТНЫЕ Заселение и выезд!!! ИДЕАЛЬНО ПОДХОДИТ ДЛЯ УДАЛЁННОЙ РАБОТЫ и спокойного отдыха! Очень уютная светлая студия! Свежий ремонт,великолепный матрас на широкой кровати, благоухающее постельное бельё. В 30 метрах от подъезда- круглосуточный супермаркет со своей пекарней. Отличный район Бизнес-класса Very comfortable bright apartment! Freshly renovated, great mattress on a wide bed. Perfect cleanliness. You will definitely want to come back to us :)",-4.54289,2.1959953,"бесконтактный заселение выезд !!! идеально подходить удаленный работа спокойный отдых очень уютный светлый студия свежий ремонт великолепный матрас широкий кровать благоухать постельный белье 30 метр подъезд круглосуточный супермаркет свой пекарня отличный район бизнес-класс very comfortable bright apartment freshly renovated great mattress on a wide bed perfect cleanliness you will definitely want to come back to us  :)
",студия,63
"Уютные апартаменты-студия в новом жилом комплексе премиум-класса. В 5-8 минутах пешком станция метро Водный стадион. До Красной площади на метро 19 минут без пересадок! Студия на севере Москвы, в одном из самых чистых и ухоженных районов. Сразу за домом Невский парк, в 400 метрах вход в Парк-усадьбу Михалково. Каскады прудов, красивые аллеи - все будет радовать глаз и сделает Ваш отдых незабываемым! Район отличается прекрасной инфраструктурой. , в 600 метрах огромный ТРЦ Водный.",-9.795652,-2.7738333,уютный апартамент студия новый жилой комплекс премиум класс 5 8 минута пешком станция метро водный стадион красный площадь метро 19 минута пересадка студия север москва самый чистый ухоженный район сразу дом невский парк 400 метр вход парк усадьба михалково каскад пруд красивый аллея радовать глаз сделать ваш отдых незабываемый район отличаться прекрасный инфраструктура 600 метр огромный трц водный,студия,63
Номер в отеле Измайловский парк оснащен всем необходимым для длительного проживания. В номере есть своя кухня с посудой и ванная комната.,-1.0675155,-27.984318,номер отель измайловский парк оснащать необходимый длительный проживание номер свой кухня посуда ванный комната,отель,41
"Лофт для мероприятий . В интерьере присутствуют: граффити, машины, диваны , кресла, камин.",6.160902,29.92789,лофт мероприятие интерьер присутствовать граффити машина диван кресло камин,лофт,36
Пространство для мероприятий (лофт). С кирпичной отделкой и множеством комнат.,39.099464,29.339048,пространство мероприятие лофт кирпичный отделка множество комната,пространство,54
Двухуровневый лофт-офис с большими окнами.,31.869596,20.142418,двухуровневый лофт офис большой окно,лофт,36
Лофт в серых тонах и с большими окнами.,34.697697,17.564562,лофт серый тон большой окно,лофт,36
Светлое пространство с большими окнами.,35.38159,15.826976,светлый пространство большой окно,пространство,54
Лофт в стиле минимализм с большими окнами,26.838188,18.792084,лофт стиль минимализм большой окно,лофт,36
Светлое пространство в классическом стиле .,20.378859,-37.839687,светлый пространство классический стиль,пространство,54
Лофт в черно-белом стиле.,19.414392,23.388046,лофт черно-белый стиль,лофт,36
Темное пространство .,32.918148,-28.96666,темный пространство,пространство,54
Темное пространство .,32.62356,-29.158667,темный пространство,пространство,54
Темное пространство .,32.05802,-28.004858,темный пространство,пространство,54
Темное пространство .,33.206745,-28.713934,темный пространство,пространство,54
Темное пространство .,33.27835,-28.296007,темный пространство,пространство,54
Темное пространство .,31.843327,-28.863522,темный пространство,пространство,54
Темное пространство .,32.696037,-27.842693,темный пространство,пространство,54
Темное пространство .,32.132664,-29.228954,темный пространство,пространство,54
Темное пространство .,32.489132,-28.357187,темный пространство,пространство,54
Темное пространство .,31.62388,-28.551992,темный пространство,пространство,54
Темное пространство .,33.11671,-27.923447,темный пространство,пространство,54
Темное пространство .,32.5563,-27.545546,темный пространство,пространство,54
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.212221,55.25795,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-72.14441,20.446733,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",6.8528643,-64.96885,тренажер обучение бортпроводник имитировать салон самолет,салон,59
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-53.66985,37.915047,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-69.89731,-16.629568,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-71.6815,-4.8475623,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-60.744587,-25.895824,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-52.247437,-14.660289,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",-5.861058,-70.847336,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,25.899046,54.87898,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-71.99318,21.764359,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-55.47983,37.39405,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",4.991466,-64.98633,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-70.5625,-3.3218932,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-60.034687,-25.523874,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-50.19509,-15.987814,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",-6.0521455,-72.318474,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-70.81891,-17.749304,черный бизнес джет москва,бизнес,10
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,25.33745,55.44514,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-70.90283,20.74968,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-54.684048,38.708908,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-72.080826,-3.6352699,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-60.3038,-25.01977,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-52.34818,-14.063166,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",-7.006836,-71.834854,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",6.899439,-66.53183,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-71.47311,-16.43811,черный бизнес джет москва,бизнес,10
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,24.820074,56.202656,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-70.70941,22.023699,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-54.18334,36.439705,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",-7.0996766,-72.28452,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",5.4125967,-64.79176,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-69.87677,-17.426844,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-70.93387,-2.630126,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-62.478535,-25.766155,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-50.04687,-15.448804,москва цао,none,0
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.042866,56.0508,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-71.433586,22.454098,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-53.84128,38.8654,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-51.339676,-15.833509,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",-4.9223504,-72.55794,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",7.1199775,-66.02436,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-70.340546,-16.045074,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-70.50431,-4.0586405,ангар стоянка бизнес джет москва,ангар,2
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-60.854195,-25.480967,бизнес джет москва цао,бизнес,10
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,24.185286,55.726337,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-72.554726,22.041475,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-55.09602,38.624874,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
  Бизнес-джет   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-61.605698,-25.447027,бизнес джет москва цао,бизнес,10
   Москва\t\t\t\t\t\t\t\t  ЦАО\t\t\t\t\t\t\t\t,-51.42636,-13.304739,москва цао,none,0
" Салон самолета ИЛ-86, предназначенный для обучения сотрудников гражданской авиации",-5.3119392,-70.98841,салон самолет ил 86 предназначать обучение сотрудник гражданский авиация,салон,59
"  Тренажер для обучения бортпроводников, имитирующий салон самолета",5.9377565,-64.49387,тренажер обучение бортпроводник имитировать салон самолет,салон,59
  Черный бизнес-джет.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-70.19647,-18.144678,черный бизнес джет москва,бизнес,10
  Ангар для стоянки бизнес-джетов.  Москва\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,-71.849945,-4.3963413,ангар стоянка бизнес джет москва,ангар,2
Ангар с гримерной комнатой.,-5.3891063,16.45849,ангар гримерный комната,ангар,2
"Школа Бортпроводников, общий вид площадок, объектов , самолетов. Зеленые насаждения.",29.32655,51.044735,школа бортпроводник общий вид площадка объект самолет зеленый насаждение,школа,75
Ангар для стоянки бизнес-джетов.,-71.55476,-1.9407562,ангар стоянка бизнес джет,ангар,2
 Ангар для самолетов и вертолетов.  Московская область\t\t\t\t\t\t\t\t  \t\t\t\t\t\t\t\t,26.133171,56.903675,ангар самолет вертолет московский область,ангар,2
"  Аэропорт, просторные внутренние пространства, эскалатор, металлические конструкции перекрытия.",-71.48773,20.559523,аэропорт просторный внутренний пространство эскалатор металлический конструкция перекрытие,аэропорт,5
"  Аэропорт, большие внутренние объемы помещений, колонны, большие площади остекления, открытые металлические конструкции.",-54.11588,37.477535,аэропорт большой внутренний объем помещение колонна большой площадь остекление открытый металлический конструкция,аэропорт,5
